name,position,team,bye_week,adp,adp_round,adp_7d,adp_30d,trend_7d,trend_30d
Kimani Vidal,RB,LAC,7,196.5,17,206.8,203.0,-10.3,-6.5
Kayshon Boutte,WR,NE,11,197.4,17,191.4,183.5,6.0,13.9
Pat Freiermuth,TE,PIT,9,200.3,17,197.4,204.1,2.9,-3.8
Calvin Ridley,WR,TEN,9,200.4,17,196.2,177.2,4.2,23.2
Sean Tucker,RB,TB,10,201.9,17,196.7,216.0,5.2,-14.1
Cooper Kupp,WR,SEA,11,203.3,17,197.2,194.2,6.1,9.1
Tua Tagovailoa,QB,ATL,11,204.9,18,200.7,198.3,4.2,6.6
Malachi Fields,WR,NYG,8,205.7,18,218.1,215.8,-12.5,-10.1
Ricky Pearsall,WR,SF,8,206.3,18,189.1,107.4,17.2,99.0
George Holani,RB,SEA,11,206.5,18,217.4,229.1,-10.9,-22.6
Colby Parkinson,TE,LAR,11,207.0,18,201.6,192.0,5.4,15.0
Germie Bernard,WR,PIT,9,208.1,18,209.7,192.1,-1.5,16.0
Antonio Williams,WR,WAS,7,208.2,18,193.8,174.3,14.4,33.9
Nick Singleton,RB,TEN,9,208.5,18,204.5,182.2,4.0,26.4
Justice Hill,RB,BAL,13,208.8,18,206.0,217.8,2.8,-9.0
Rashod Bateman,WR,BAL,13,208.9,18,202.5,226.0,6.4,-17.2
Emmett Johnson,RB,KC,5,210.0,18,205.7,192.8,4.3,17.2
Keon Coleman,WR,BUF,7,210.6,18,206.6,215.1,4.0,-4.5
David Njoku,TE,LAC,7,211.7,18,209.4,200.0,2.3,11.6
Ted Hurst III,WR,TB,10,213.8,18,218.3,219.9,-4.5,-6.1
Darnell Mooney,WR,NYG,8,216.0,18,204.3,213.1,11.7,2.9
Darren Waller,TE,CAR,5,216.7,19,229.1,229.7,-12.3,-13.0
Evan Engram,TE,DEN,10,216.8,19,216.5,222.4,0.3,-5.6
Kirk Cousins,QB,LV,13,217.5,19,218.9,214.6,-1.5,2.9
Kaelon Black,RB,SF,8,219.1,19,216.4,218.5,2.7,0.6
Kaytron Allen,RB,WAS,7,219.8,19,219.7,200.6,0.1,19.2
Shedeur Sanders,QB,CLE,11,219.8,19,212.6,205.2,7.2,14.6
Troy Franklin,WR,DEN,10,220.2,19,215.2,211.8,5.0,8.4
Tyquan Thornton,WR,KC,5,220.8,19,217.2,227.7,3.7,-6.9
Devaughn Vele,WR,NO,8,221.5,19,227.7,227.5,-6.2,-6.1
Jake Tonges,TE,SF,8,221.5,19,218.2,217.4,3.4,4.1
Deshaun Watson,QB,CLE,11,222.1,19,224.9,209.5,-2.8,12.6
Mike Gesicki,TE,CIN,6,222.5,19,216.3,222.9,6.2,-0.4
Demond Claiborne,RB,MIN,6,222.7,19,222.2,215.6,0.5,7.1
Samaje Perine,RB,CIN,6,223.4,19,225.5,227.0,-2.1,-3.6
Keenan Allen,WR,FA,0,223.5,19,221.8,225.4,1.7,-1.9
Carson Beck,QB,ARI,14,224.3,19,220.7,225.9,3.6,-1.7
Christian Kirk,WR,SF,8,224.4,19,215.8,196.2,8.6,28.2
Tyreek Hill,WR,FA,0,224.5,19,221.9,148.4,2.6,76.1
Tory Horton,WR,SEA,11,225.0,19,223.4,208.8,1.7,16.2
James Conner,RB,ARI,14,225.1,19,224.6,202.2,0.6,23.0
Charlie Kolar,TE,LAC,7,225.3,19,226.9,233.6,-1.6,-8.3
Odell Beckham Jr.,WR,NYG,8,226.5,19,226.6,225.6,-0.0,0.9
Austin Ekeler,RB,WAS,7,226.6,19,226.4,226.6,0.2,0.1
Michael Mayer,TE,LV,13,226.7,19,227.9,229.6,-1.3,-2.9
Dean Connors,RB,LAR,11,226.7,19,,225.9,226.7,0.7
Nick Chubb,RB,HOU,8,226.7,19,225.9,228.5,0.8,-1.8
Emanuel Wilson,RB,SEA,11,226.7,19,225.7,187.4,1.0,39.3
Jordan James,RB,SF,8,226.8,19,226.4,225.8,0.4,1.0
Michael Penix Jr.,QB,ATL,11,226.9,19,226.3,217.0,0.7,10.0
Brandon Aiyuk,WR,SF,8,227.0,19,226.6,163.8,0.4,63.2
Chris Bell,WR,MIA,6,227.0,19,228.3,185.6,-1.3,41.5
Kyle Juszczyk,RB,SF,8,227.1,19,230.8,230.3,-3.7,-3.2
JuJu Smith-Schuster,WR,NYG,8,227.2,19,226.4,218.8,0.7,8.4
Will Shipley,RB,PHI,10,227.2,19,229.8,226.3,-2.6,0.9
Trevor Etienne,RB,CAR,5,227.2,19,226.2,224.5,1.0,2.7
Roman Hemby,RB,LV,13,227.4,19,228.5,225.8,-1.1,1.6
DeAndre Hopkins,WR,BAL,13,227.4,19,227.0,227.4,0.4,0.1
Marquez Valdes-Scantling,WR,DAL,14,227.5,19,228.8,227.5,-1.3,0.0
Jerome Ford,RB,WAS,7,227.5,19,228.3,227.7,-0.7,-0.1
Jimmy Horn Jr.,WR,CAR,5,227.6,19,227.3,233.8,0.3,-6.2
Joe Mixon,RB,HOU,8,227.6,19,226.7,223.9,0.9,3.7
J'Mari Taylor,RB,JAX,7,227.6,19,228.0,226.6,-0.4,1.0
Kareem Hunt,RB,FA,0,227.7,19,226.5,224.7,1.2,2.9
Sione Vaki,RB,DET,6,227.7,19,226.4,227.0,1.3,0.7
AJ Dillon,RB,CAR,5,227.7,19,226.3,227.7,1.4,0.0
Devontez Walker,WR,BAL,13,227.7,19,227.0,227.4,0.7,0.4
Kaden Wetjen,WR,PIT,9,227.8,19,,227.0,227.8,0.8
Zamir White,RB,SF,8,227.8,19,,231.2,227.8,-3.4
Ollie Gordon II,RB,MIA,6,227.9,19,227.5,223.1,0.4,4.8
Drew Allar,QB,PIT,9,227.9,19,228.3,225.3,-0.4,2.6
Quinn Ewers,QB,MIA,6,227.9,19,230.2,225.0,-2.2,3.0
John Metchie III,WR,CAR,5,228.0,19,227.2,227.5,0.7,0.5
Brandin Cooks,WR,BUF,7,228.0,19,228.0,214.0,-0.0,14.0
Devin Singletary,RB,NYG,8,228.0,20,227.1,225.5,0.9,2.5
Jaylin Lane,WR,WAS,7,228.1,20,226.9,234.5,1.1,-6.4
Jaleel McLaughlin,RB,DEN,10,228.1,20,227.8,227.1,0.3,1.0
Riley Leonard,QB,IND,13,228.1,20,231.3,228.1,-3.2,-0.0
Kye Robichaux,RB,DET,6,228.1,20,,228.2,228.1,-0.1
Luke McCaffrey,WR,WAS,7,228.1,20,229.0,225.8,-0.8,2.3
Will Howard,QB,PIT,9,228.1,20,229.7,225.9,-1.6,2.3
Joe Milton III,QB,DAL,14,228.2,20,227.5,228.7,0.7,-0.5
Eli Stowers,TE,PHI,10,228.2,20,227.0,184.2,1.2,44.1
Tutu Atwell,WR,MIA,6,228.3,20,229.4,230.1,-1.1,-1.8
Darius Cooper,WR,PHI,10,228.4,20,227.7,226.9,0.7,1.4
Hollywood Brown,WR,PHI,10,228.4,20,229.1,225.7,-0.7,2.7
Robert Tonyan,TE,PIT,9,228.4,20,,228.9,228.4,-0.5
Xavier Hutchinson,WR,HOU,8,228.4,20,230.3,228.6,-1.9,-0.2
Tyrod Taylor,QB,GB,11,228.4,20,229.4,229.4,-1.0,-1.0
Zach Ertz,TE,WAS,7,228.4,20,227.2,227.9,1.2,0.5
Elijah Sarratt,WR,BAL,13,228.4,20,228.2,224.0,0.2,4.4
Mack Hollins,WR,NE,11,228.4,20,227.2,226.7,1.2,1.8
Seth McGowan,RB,IND,13,228.4,20,227.9,227.9,0.5,0.5
J.J. McCarthy,QB,MIN,6,228.4,20,228.1,223.3,0.4,5.2
Max Klare,TE,LAR,11,228.4,20,228.9,227.8,-0.5,0.6
Jalen Tolbert,WR,MIA,6,228.5,20,227.2,229.4,1.2,-0.9
Kyle Allen,QB,BUF,7,228.5,20,226.5,233.7,2.0,-5.2
Zonovan Knight,RB,ARI,14,228.5,20,226.5,225.5,2.0,3.0
Isaiah Davis,RB,NYJ,13,228.5,20,228.0,230.8,0.5,-2.3
Ty Johnson,RB,BUF,7,228.5,20,226.4,229.0,2.1,-0.4
Ty Simpson,QB,LAR,11,228.6,20,229.7,230.6,-1.1,-2.0
Theo Wease Jr.,WR,MIA,6,228.6,20,228.5,226.0,0.1,2.6
Luke Musgrave,TE,GB,11,228.6,20,230.0,228.3,-1.4,0.4
Isaiah Bond,WR,CLE,11,228.6,20,229.1,227.9,-0.5,0.8
